# TF-IDF Weighting From http://www.pejeng.desa.id/post/
term,term_id,weight,corpus_id
royong,2072,0.204865921423,corpus_84
suara,639,0.204584065075,corpus_7
mecaru,55,0.204456293839,corpus_1
tirta,931,0.204323676926,corpus_9
kebersihan,2060,0.2043165016,corpus_32
proyek,2071,0.203966399144,corpus_35
tema,282,0.203810107792,corpus_6
truk,2421,0.203680015668,corpus_40
pertigaan,3678,0.201944578364,corpus_72
bunga,944,0.201043845449,corpus_44
puri,1542,0.200595347016,corpus_54
ajang,143,0.200588640519,corpus_65
ferry,3443,0.199826238797,corpus_67
musuh-musuh,1516,0.199692810699,corpus_21
monumen,1513,0.199692810699,corpus_21
macet,3133,0.199649929641,corpus_58
mataram,1248,0.199504912559,corpus_15
ign,1244,0.199504912559,corpus_15
kojong,3701,0.19904441763,corpus_73
mobil,1360,0.198885432249,corpus_83
peningkatan,2594,0.196911947383,corpus_44
pdhb,2986,0.196331021888,corpus_54
buruan,1344,0.196331021888,corpus_54
ulv,2350,0.19592841656,corpus_37
udara,2348,0.19592841656,corpus_37
senyap,2343,0.19592841656,corpus_37
nyamuk,2331,0.19592841656,corpus_37
klb,2320,0.19592841656,corpus_37
berdarah,2310,0.19592841656,corpus_37
turis,1311,0.195868819702,corpus_34
sepi,2213,0.195868819702,corpus_34
erupsi,2171,0.195868819702,corpus_34
sasuhunan,1134,0.195741048048,corpus_12
nyejer,1251,0.195736945905,corpus_22
sepakbola,443,0.19570818137,corpus_49
indonesia,413,0.195334485029,corpus_4
kepemangkuan,1425,0.195115684173,corpus_20
anak,534,0.194889820054,corpus_85
persaingan,3375,0.19471878685,corpus_65
pekan,3372,0.19471878685,corpus_65
terdengar,770,0.193840322829,corpus_7
beliau,394,0.193813296499,corpus_5
pohon,744,0.193734181973,corpus_30
puncak,88,0.193018632416,corpus_19
saputra,2148,0.192445759995,corpus_82
das,2238,0.192180501946,corpus_84
sumbangan,2789,0.192177173608,corpus_50
penggalangan,2784,0.192177173608,corpus_50
motor,1963,0.191957962455,corpus_36
sad,3192,0.191597498036,corpus_60
kahyangan,3188,0.191597498036,corpus_60
soma,983,0.191292309836,corpus_10
bersih-bersih,3953,0.190845633385,corpus_84
batang-batang,3952,0.190845633385,corpus_84
perih,2296,0.190624639633,corpus_36
matanya,2282,0.190624639633,corpus_36
serangan,1561,0.189855711387,corpus_28
br,160,0.189241259659,corpus_51
suletra,2682,0.188129607701,corpus_48
alat,781,0.188000507133,corpus_43
tebing,2035,0.186657532005,corpus_35
perguruan,1533,0.186339878892,corpus_56
sepak,441,0.186081636717,corpus_29
wisatawan,995,0.185728760975,corpus_34
siswa,445,0.185397120036,corpus_56
nyepi,731,0.185324906712,corpus_7
berita,464,0.185294079842,corpus_64
akibat,1862,0.184905784463,corpus_47
sesana,1715,0.184846016903,corpus_26
pemenang,434,0.184846016903,corpus_26
dangin,2430,0.184197472793,corpus_41
terlibat,3347,0.184007043753,corpus_64
situs,3344,0.184007043753,corpus_64
penulis,3338,0.184007043753,corpus_64
mengumpulkan,2777,0.183883525168,corpus_81
tangkil,1136,0.183563520444,corpus_40
tumbang,1990,0.183127404564,corpus_30
ngideran,1333,0.183009275467,corpus_17
jro,819,0.182955816521,corpus_61
yadnya,138,0.182496155459,corpus_9
nunas,920,0.182496155459,corpus_9
siwa,3027,0.182055611037,corpus_55
calon,1420,0.182055611037,corpus_55
dipentaskan,557,0.18189744057,corpus_11
sosialisasi,3307,0.181786378279,corpus_85
ritual,1133,0.18176405748,corpus_20
buah,1730,0.180708516806,corpus_27
pelanggaran,740,0.180133146154,corpus_25
rawan,2251,0.180044148263,corpus_35
kemerdekaan,1487,0.179761187005,corpus_59
pengunjung,2495,0.179758260314,corpus_42
dadakan,1003,0.179758260314,corpus_42
lapangan,203,0.179623185938,corpus_49
dagangannya,1641,0.179429088527,corpus_52
pemain,433,0.179373497465,corpus_79
musibah,1964,0.178987316183,corpus_31
keluarga,483,0.178305400907,corpus_85
ruas,2376,0.178077894185,corpus_38
mahasiswa,2121,0.177796915529,corpus_33
pelangkiran,76,0.177492703679,corpus_45
bulan-bulan,1623,0.176870861166,corpus_24
amongan,1621,0.176870861166,corpus_24
pangan,353,0.176546545308,corpus_3
sudikerta,3223,0.176473586688,corpus_61
pemprov,3217,0.176473586688,corpus_61
pakelem,3212,0.176473586688,corpus_61
kolam,3200,0.176473586688,corpus_61
penalty,1836,0.175842652009,corpus_69
eksekutor,1778,0.175842652009,corpus_69
persatuan,870,0.17509980919,corpus_23
